"","Trans2","Trans4","Trans5","Trans6","Trans7","Trans8","Trans9","Trans11","Trans31","Trans41","Food10","Food18","Food26","Food30","Food43","Food46","Food51","Food53","Food55","Food58","Food59","Food81","Food82","Food87","Food107","Food137","Food150","Food153","Food156","Food160","Food162"
"1",0,74.95,0,0,1,12,22,38,0.33,0,0,0,0,0,0,0,7,0,4,3.95,23.27,0,0,0,0,0,1,10,4,0,0
"2",0,193.61,0,0,6,64,0,4,0,2,0,0,0,0,0,16.51,0,0,0,0,0,0,0,0.779141104,0,5,2,2,55,0,11.31
"3",43.47,54.35,1,6,6,9,23,43,0,17,0,2,4.77,0,36.64,0,11,0,0,4.77,46.26,0.109730849,0.842880147,0,1,4,0,9,2,0,0
"4",25.6,41.37,3,7,9,12,39,81,0,19,0,1,3.95,0,12.75,0,6,0,0,6.7,23.02,0.327628362,0.623471883,0,0,0,6,0,2,1,1
"5",0,121.19,0,0,2,18,37,39,0,1,0,0,0,0,0,0,0,0,12,4.75,0,0,0,0,0,0,0,7,7,0,0
"6",0,63.77,0,0,5,7,3,31,0,3,0,0,0,0,0,7.15,0,0,0,8.4,0,0.355855856,0,0.644144144,0,1,1,1,2,0,3
"7",31.18,77.45,7,8,9,10,27,91,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,4,1,0,0
"8",0,64.09,0,0,0,9,5,15,1,7,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,8,0,14,0,0
"9",5.75,114.85,1,2,9,18,38,43,0,0,0,0,0,0,0,0,14,1,4,14.1,28.74,0.933774834,0,0,0,1,3,0,9,0,0
"10",0,27.69,0,0,1,5,0,78,0,0,0,0,0,0,0,0,0,0,0,13.11,0,1,0,0,0,0,2,1,1,0,0
"11",0,425,0,0,7,54,7,10,0,1,0,0,0,0,0,26.7,5,6,4,40.2,17.8,0.202099738,0,0.700787402,0,0,10,63,56,0,9.3
"12",18.84,63.69,3,5,5,10,38,54,0,8,2.95,3,11.05,0,0,0,1,0,0,11.05,3.25,0.789285714,0,0,1,3,4,2,7,2.45,2.45
"13",0,39.47,0,0,0,14,17,19,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,10,2,0,0
